06-30 23:12:21: Training starting...
06-30 23:12:22: New best reward 17.0 (-100.0%) at episode 0, saving model...
06-30 23:12:22: New best reward 38.0 (+123.5%) at episode 1, saving model...
06-30 23:12:22: New best reward 40.0 (+5.3%) at episode 27, saving model...
06-30 23:12:22: New best reward 45.0 (+12.5%) at episode 34, saving model...
06-30 23:12:22: New best reward 59.0 (+31.1%) at episode 85, saving model...
06-30 23:12:22: New best reward 73.0 (+23.7%) at episode 93, saving model...
06-30 23:12:22: New best reward 76.0 (+4.1%) at episode 186, saving model...
06-30 23:12:22: New best reward 82.0 (+7.9%) at episode 307, saving model...
06-30 23:12:22: New best reward 100.0 (+22.0%) at episode 336, saving model...
06-30 23:12:22: New best reward 127.0 (+27.0%) at episode 394, saving model...
06-30 23:12:22: New best reward 172.0 (+35.4%) at episode 606, saving model...
06-30 23:12:22: New best reward 215.0 (+25.0%) at episode 665, saving model...
06-30 23:12:23: New best reward 244.0 (+13.5%) at episode 929, saving model...
06-30 23:12:23: New best reward 249.0 (+2.0%) at episode 973, saving model...
06-30 23:12:23: New best reward 274.0 (+10.0%) at episode 1002, saving model...
06-30 23:12:23: New best reward 356.0 (+29.9%) at episode 1037, saving model...
06-30 23:12:24: New best reward 424.0 (+19.1%) at episode 1303, saving model...
06-30 23:12:24: New best reward 498.0 (+17.5%) at episode 1425, saving model...
06-30 23:12:26: New best reward 509.0 (+2.2%) at episode 1781, saving model...
06-30 23:12:32: New best reward 523.0 (+2.8%) at episode 2802, saving model...
06-30 23:12:33: New best reward 594.0 (+13.6%) at episode 2933, saving model...
06-30 23:12:36: New best reward 634.0 (+6.7%) at episode 3214, saving model...
06-30 23:12:36: New best reward 692.0 (+9.1%) at episode 3234, saving model...
06-30 23:12:41: New best reward 775.0 (+12.0%) at episode 3707, saving model...
06-30 23:12:42: New best reward 815.0 (+5.2%) at episode 3755, saving model...
06-30 23:12:44: New best reward 847.0 (+3.9%) at episode 3952, saving model...
06-30 23:12:59: New best reward 1046.0 (+23.5%) at episode 5025, saving model...
06-30 23:13:03: New best reward 1052.0 (+0.6%) at episode 5278, saving model...
06-30 23:13:14: New best reward 1323.0 (+25.8%) at episode 5858, saving model...
