06-30 23:14:23: Training starting...
06-30 23:14:23: New best reward -7.5 (-100.0%) at episode 0, saving model...
06-30 23:14:23: New best reward -5.1 (-32.0%) at episode 8, saving model...
06-30 23:14:23: New best reward -4.5 (-11.8%) at episode 44, saving model...
06-30 23:14:24: New best reward -3.9 (-13.3%) at episode 49, saving model...
06-30 23:14:24: New best reward -2.7 (-30.8%) at episode 348, saving model...
06-30 23:14:24: New best reward -2.1 (-22.2%) at episode 709, saving model...
06-30 23:14:25: New best reward -1.5 (-28.6%) at episode 794, saving model...
06-30 23:14:25: New best reward -0.9 (-40.0%) at episode 1147, saving model...
06-30 23:14:25: New best reward 0.3 (-133.3%) at episode 1394, saving model...
06-30 23:14:27: New best reward 1.5 (+400.0%) at episode 2174, saving model...
06-30 23:14:31: New best reward 2.7 (+80.0%) at episode 5054, saving model...
06-30 23:14:32: New best reward 4.0 (+48.1%) at episode 5586, saving model...
06-30 23:14:38: New best reward 4.1 (+2.5%) at episode 8468, saving model...
06-30 23:14:42: New best reward 4.5 (+9.8%) at episode 10454, saving model...
06-30 23:14:47: New best reward 6.2 (+37.8%) at episode 13215, saving model...
06-30 23:14:48: New best reward 6.4 (+3.2%) at episode 13553, saving model...
06-30 23:14:54: New best reward 6.5 (+1.6%) at episode 16223, saving model...
06-30 23:14:57: New best reward 7.8 (+20.0%) at episode 17354, saving model...
06-30 23:15:02: New best reward 8.4 (+7.7%) at episode 19571, saving model...
